id,from_pages,from_issues,newspaper_id
tageblatt-1924-01-15-a-p0005,,True,tageblatt
tageblatt-1924-01-15-a-p0006,,True,tageblatt
tageblatt-1924-01-15-a-p0007,,True,tageblatt
tageblatt-1924-01-15-a-p0008,,True,tageblatt
tageblatt-1924-01-22-a-p0004,,True,tageblatt
tageblatt-1924-01-22-a-p0005,,True,tageblatt
tageblatt-1924-01-22-a-p0006,,True,tageblatt
tageblatt-1924-01-29-a-p0004,,True,tageblatt
tageblatt-1924-01-29-a-p0006,,True,tageblatt
tageblatt-1924-02-12-a-p0004,,True,tageblatt
tageblatt-1924-02-12-a-p0005,,True,tageblatt
tageblatt-1924-02-12-a-p0006,,True,tageblatt
tageblatt-1924-02-19-a-p0005,,True,tageblatt
tageblatt-1924-02-19-a-p0006,,True,tageblatt
tageblatt-1924-02-19-a-p0007,,True,tageblatt
tageblatt-1924-02-19-a-p0008,,True,tageblatt
tageblatt-1924-02-26-a-p0005,,True,tageblatt
tageblatt-1924-02-26-a-p0006,,True,tageblatt
tageblatt-1924-02-26-a-p0007,,True,tageblatt
tageblatt-1924-02-26-a-p0008,,True,tageblatt
tageblatt-1924-03-05-a-p0004,,True,tageblatt
tageblatt-1924-03-05-a-p0005,,True,tageblatt
tageblatt-1924-03-05-a-p0006,,True,tageblatt
tageblatt-1924-03-11-a-p0006,,True,tageblatt
tageblatt-1924-03-11-a-p0007,,True,tageblatt
tageblatt-1924-03-11-a-p0008,,True,tageblatt
tageblatt-1924-03-21-a-p0008,,True,tageblatt
tageblatt-1924-03-25-a-p0004,,True,tageblatt
tageblatt-1924-03-25-a-p0005,,True,tageblatt
tageblatt-1924-03-25-a-p0006,,True,tageblatt
tageblatt-1924-03-31-a-p0005,,True,tageblatt
tageblatt-1924-03-31-a-p0006,,True,tageblatt
tageblatt-1924-03-31-a-p0007,,True,tageblatt
tageblatt-1924-03-31-a-p0008,,True,tageblatt
tageblatt-1924-04-03-a-p0004,,True,tageblatt
tageblatt-1924-04-07-a-p0006,,True,tageblatt
tageblatt-1924-04-08-a-p0006,,True,tageblatt
tageblatt-1924-04-15-a-p0004,,True,tageblatt
tageblatt-1924-04-17-a-p0007,,True,tageblatt
tageblatt-1924-04-17-a-p0008,,True,tageblatt
tageblatt-1924-04-23-a-p0006,,True,tageblatt
tageblatt-1924-04-23-a-p0008,,True,tageblatt
tageblatt-1924-05-06-a-p0004,,True,tageblatt
tageblatt-1924-05-06-a-p0006,,True,tageblatt
tageblatt-1924-05-13-a-p0004,,True,tageblatt
tageblatt-1924-05-13-a-p0005,,True,tageblatt
tageblatt-1924-05-13-a-p0006,,True,tageblatt
tageblatt-1924-05-15-a-p0005,,True,tageblatt
tageblatt-1924-05-15-a-p0006,,True,tageblatt
tageblatt-1924-05-20-a-p0004,,True,tageblatt
tageblatt-1924-05-20-a-p0006,,True,tageblatt
tageblatt-1924-05-24-a-p0006,,True,tageblatt
tageblatt-1924-05-27-a-p0004,,True,tageblatt
tageblatt-1924-05-27-a-p0005,,True,tageblatt
tageblatt-1924-05-27-a-p0006,,True,tageblatt
tageblatt-1924-05-28-a-p0008,,True,tageblatt
tageblatt-1924-06-03-a-p0004,,True,tageblatt
tageblatt-1924-06-03-a-p0005,,True,tageblatt
tageblatt-1924-06-03-a-p0006,,True,tageblatt
tageblatt-1924-06-25-a-p0003,,True,tageblatt
tageblatt-1924-06-25-a-p0004,,True,tageblatt
tageblatt-1924-06-25-a-p0010,,True,tageblatt
tageblatt-1924-06-30-a-p0005,,True,tageblatt
tageblatt-1924-06-30-a-p0006,,True,tageblatt
tageblatt-1924-07-01-a-p0004,,True,tageblatt
tageblatt-1924-07-01-a-p0005,,True,tageblatt
tageblatt-1924-07-01-a-p0006,,True,tageblatt
tageblatt-1924-07-08-a-p0004,,True,tageblatt
tageblatt-1924-07-08-a-p0005,,True,tageblatt
tageblatt-1924-07-08-a-p0006,,True,tageblatt
tageblatt-1924-07-15-a-p0004,,True,tageblatt
tageblatt-1924-07-15-a-p0005,,True,tageblatt
tageblatt-1924-07-15-a-p0006,,True,tageblatt
tageblatt-1924-07-19-a-p0006,,True,tageblatt
tageblatt-1924-08-02-a-p0005,,True,tageblatt
tageblatt-1924-08-02-a-p0006,,True,tageblatt
tageblatt-1924-08-02-a-p0011,,True,tageblatt
tageblatt-1924-08-02-a-p0012,,True,tageblatt
tageblatt-1924-08-05-a-p0004,,True,tageblatt
tageblatt-1924-08-05-a-p0005,,True,tageblatt
tageblatt-1924-08-05-a-p0006,,True,tageblatt
tageblatt-1924-08-13-a-p0004,,True,tageblatt
tageblatt-1924-08-13-a-p0006,,True,tageblatt
tageblatt-1924-08-18-a-p0007,,True,tageblatt
tageblatt-1924-08-18-a-p0008,,True,tageblatt
tageblatt-1924-08-19-a-p0004,,True,tageblatt
tageblatt-1924-08-19-a-p0005,,True,tageblatt
tageblatt-1924-08-19-a-p0006,,True,tageblatt
tageblatt-1924-08-22-a-p0006,,True,tageblatt
tageblatt-1924-08-22-a-p0008,,True,tageblatt
tageblatt-1924-08-26-a-p0006,,True,tageblatt
tageblatt-1924-08-29-a-p0005,,True,tageblatt
tageblatt-1924-08-29-a-p0006,,True,tageblatt
tageblatt-1924-09-09-a-p0004,,True,tageblatt
tageblatt-1924-09-09-a-p0005,,True,tageblatt
tageblatt-1924-09-09-a-p0006,,True,tageblatt
tageblatt-1924-09-16-a-p0006,,True,tageblatt
tageblatt-1924-09-16-a-p0007,,True,tageblatt
tageblatt-1924-09-16-a-p0008,,True,tageblatt
tageblatt-1924-09-30-a-p0004,,True,tageblatt
tageblatt-1924-10-07-a-p0004,,True,tageblatt
tageblatt-1924-10-07-a-p0006,,True,tageblatt
tageblatt-1924-10-21-a-p0006,,True,tageblatt
tageblatt-1924-10-21-a-p0007,,True,tageblatt
tageblatt-1924-10-21-a-p0008,,True,tageblatt
tageblatt-1924-10-25-a-p0007,,True,tageblatt
tageblatt-1924-10-25-a-p0008,,True,tageblatt
tageblatt-1924-11-04-a-p0004,,True,tageblatt
tageblatt-1924-11-04-a-p0005,,True,tageblatt
tageblatt-1924-11-04-a-p0006,,True,tageblatt
tageblatt-1924-11-08-a-p0005,,True,tageblatt
tageblatt-1924-11-08-a-p0006,,True,tageblatt
tageblatt-1924-11-18-a-p0004,,True,tageblatt
tageblatt-1924-11-18-a-p0005,,True,tageblatt
tageblatt-1924-11-18-a-p0006,,True,tageblatt
tageblatt-1924-11-25-a-p0004,,True,tageblatt
tageblatt-1924-11-25-a-p0005,,True,tageblatt
tageblatt-1924-11-25-a-p0006,,True,tageblatt
tageblatt-1924-12-02-a-p0006,,True,tageblatt
tageblatt-1924-12-02-a-p0007,,True,tageblatt
tageblatt-1924-12-02-a-p0008,,True,tageblatt
tageblatt-1924-12-11-a-p0005,,True,tageblatt
tageblatt-1924-12-11-a-p0006,,True,tageblatt
tageblatt-1924-12-16-a-p0004,,True,tageblatt
tageblatt-1924-12-16-a-p0005,,True,tageblatt
tageblatt-1924-12-16-a-p0006,,True,tageblatt
tageblatt-1924-12-18-a-p0006,,True,tageblatt
tageblatt-1924-12-30-a-p0004,,True,tageblatt
tageblatt-1924-12-30-a-p0005,,True,tageblatt
tageblatt-1924-12-30-a-p0006,,True,tageblatt
tageblatt-1925-01-05-a-p0006,,True,tageblatt
tageblatt-1925-01-05-a-p0007,,True,tageblatt
tageblatt-1925-01-05-a-p0008,,True,tageblatt
tageblatt-1925-01-20-a-p0006,,True,tageblatt
tageblatt-1925-01-20-a-p0007,,True,tageblatt
tageblatt-1925-01-20-a-p0008,,True,tageblatt
tageblatt-1925-01-27-a-p0005,,True,tageblatt
tageblatt-1925-01-27-a-p0006,,True,tageblatt
tageblatt-1925-01-27-a-p0008,,True,tageblatt
tageblatt-1925-02-11-a-p0007,,True,tageblatt
tageblatt-1925-02-11-a-p0008,,True,tageblatt
tageblatt-1925-02-11-a-p0011,,True,tageblatt
tageblatt-1925-02-11-a-p0012,,True,tageblatt
tageblatt-1925-02-17-a-p0008,,True,tageblatt
tageblatt-1925-02-19-a-p0007,,True,tageblatt
tageblatt-1925-02-19-a-p0008,,True,tageblatt
tageblatt-1925-02-20-a-p0005,,True,tageblatt
tageblatt-1925-02-20-a-p0006,,True,tageblatt
tageblatt-1925-02-20-a-p0008,,True,tageblatt
